id,createdUTC,text,stance,children,imgId
3,1546921773,"Bill Gates warns that nobody is paying attention to gene editing, a new technology that could make inequality even worse: ""the most important public debate we haven't been having widely enough.""",against,"['3-66', '3-124', '3-203', '3-250', '3-291', '3-300', '3-301', '3-329', '3-383']",3
7,1725738565,Scientist who gene-edited babies is back in lab and ‘proud’ of past work despite jailing,none,"['7-7', '7-18', '7-19', '7-20', '7-25', '7-28', '7-34', '7-112', '7-114', '7-124', '7-163', '7-207', '7-221', '7-246', '7-252', '7-255', '7-256', '7-259', '7-268', '7-284', '7-288', '7-296', '7-328', '7-330', '7-340', '7-344', '7-356', '7-380', '7-402', '7-407', '7-460']",7
10,1709135426,"TIL: In 2021, scientists experimented with CRISPR gene editing on hamsters. They removed vasopressin and Avprla, expecting that upon removal the hamsters would be ""cuddly"" and ""adorable"" all the time, but it had the opposite effect, causing them to be aggressive, territorial, and violent.",none,"['10-78', '10-139', '10-221']",10
20,1546921803,"Bill Gates warns that nobody is paying attention to gene editing, a new technology that could make inequality even worse",against,"['20-13', '20-20', '20-31', '20-51', '20-101', '20-117', '20-143', '20-148', '20-160', '20-199', '20-234', '20-271', '20-274', '20-278', '20-322', '20-325']",20
21,1656115067,HIV can be treated: Drug developed by gene editing could cure AIDS,favor,"['21-4', '21-56', '21-113', '21-115', '21-162', '21-168']",21
25,1501693442,First human embryo editing experiment in U.S. ‘corrects’ gene for heart condition,favor,"['25-4', '25-22', '25-37', '25-64', '25-66', '25-78', '25-86', '25-113', '25-118', '25-144']",25
26,1645890642,"""The Future Arrived A Lot Sooner Than I Imagined"" - Gene-Editing Cure for Sickle Cell Disease",favor,"['26-11', '26-63', '26-73', '26-76', '26-155', '26-178', '26-214']",26
29,1618322666,A Massive New Gene Editing Project Is Out to Crush Alzheimer’s,favor,"['29-7', '29-22', '29-248']",29
30,1446748639,"Gene editing saves girl dying in UK from leukaemia in world first. Total remission, after chemotherapy and bone marrow transplant fails, in just 5 months",favor,"['30-1', '30-2', '30-59', '30-89', '30-91', '30-96', '30-101', '30-127', '30-149', '30-159', '30-187', '30-207', '30-232', '30-271', '30-281', '30-346', '30-351', '30-355', '30-401', '30-415']",30
32,1481746526,"CRISPR gene editing starts to save lives as human trials get under way - by the end of 2017, the technique could have saved dozens of lives.",favor,"['32-4', '32-10', '32-12', '32-23', '32-37', '32-41', '32-75', '32-127', '32-160', '32-162', '32-251', '32-312', '32-323']",32
