id,createdUTC,text,stance,children,imgId
1,1719927479,Mandatory vaccine,against,"['1-317', '1-420', '1-444']",1
3,1637677777,Countries where COVID-19 vaccinations are mandatory for everyone,against,"['3-7', '3-10', '3-18', '3-21', '3-74', '3-93', '3-113', '3-148', '3-152', '3-180', '3-187', '3-188', '3-192', '3-242', '3-324', '3-338', '3-378', '3-414', '3-416']",3
8,1637752274,Germany considers a full Covid lockdown and mandatory vaccines,favor,"['8-4', '8-69', '8-96', '8-114', '8-156', '8-185', '8-189', '8-190', '8-198', '8-223', '8-261', '8-271', '8-298', '8-311', '8-340', '8-361', '8-362', '8-363', '8-424']",8
17,1567520797,Should vaccines be mandatory for school-aged children?,against,"['17-30', '17-37', '17-216', '17-234', '17-264', '17-265', '17-278', '17-307', '17-322', '17-353', '17-415']",17
25,1649796861,"[Marchand] NEWS: After declining to receive the mandatory vaccination for MLB Network, John Smoltz is no longer on its air, according to sources.",against,"['25-15', '25-193', '25-418']",25
31,1635247367,Brazilian president keeps defending ivermectin says he won’t make vaccines mandatory and urges the people to be careful about this vaccines. Last Thursday during a live he does every week he even talked about the dangers to the imune system this vaccines may cause.,favor,"['31-9', '31-117', '31-236', '31-247', '31-256', '31-294', '31-337', '31-367', '31-368', '31-431', '31-479']",31
32,1633711780,"Long before COVID-19, states have been mandating vaccinations: ""In fact, mandatory childhood immunizations have been a feature of American society since the 19th century.""",none,"['32-2', '32-64', '32-78', '32-79', '32-80', '32-85', '32-117', '32-133', '32-202', '32-206', '32-244', '32-284', '32-310']",32
56,1609632239,"Fauci says mandatory COVID-19 vaccines possible for travel, school",favor,"['56-88', '56-89', '56-114', '56-118', '56-123', '56-171']",56
63,1546999947,Nurse faking mandatory vaccinations for herself and co-worker,none,"['63-50', '63-92', '63-163', '63-249']",63
68,1626572893,"France: Thousands protest against vaccination, COVID passes - Thousands of people marched around France to protest mandatory vaccinations for health care workers and COVID-19 passes that will be required to enter restaurants and other venues",none,"['68-1', '68-26', '68-104', '68-110', '68-121', '68-122', '68-127', '68-145', '68-163', '68-183', '68-209', '68-242', '68-245', '68-287', '68-308', '68-313', '68-374', '68-380', '68-391', '68-398', '68-441', '68-442', '68-462']",68
